fecha	coleccion	referencia	estado	motivo	paginas	titulo	contexto
02/12/1876	gazeta	BOE-A-1876-9460	VERIFICADO	frase completa en el texto	1	Dirección de la Caja general de Depósitos.- Se acuerdan los pagos que se expresan.	.................... Idem. Villanueva de las Peras................................ Idem, Villar de Farfon.............................................. pic Caiabor............................................................ Idem. Colinas de Trasmonte................................... i . 1? ' ^ Chillon............................................................ Ciudad-Real. Coomonte ............- ...................... Zamora. Cunquilla de Vidriales..........................
12/02/1877	gazeta	BOE-A-1877-1187	VERIFICADO	frase completa en el texto	13	División de los partidos judiciales en distritos para las elecciones provinciales á que se refiere el Real decreto precedente.	ntrevi nas, San Rom un del Valle, Santa Coloinba de las Caraibas, La Torre del Valle, Villabrazaro, Vilianueva de Azoague, Villaveza del Agua, Ma­ lilla de Arzon. Segundo distrito: Mirereees de Tera.—Micereres de Tera, Yblanazur, Colinas de Trasmonte, Si trama do Tera, Santa Troya de Tera, Melgar de Tera, Pueblica de Vaivcrde, Vega de Tera, Calzadi-lla de Tora, Camarzaim, Otero de Rodas, Una­ do Quintana, Cimillos de .Vaivcrde, Bretocino, Quinielas de Vidriales, Quinfnniiia d
28/04/1877	gazeta	BOE-A-1877-3272	VERIFICADO	frase completa en el texto	3	Memoria justificativa del proyecto de división judicial del territorio que comprende la Audiencia de Valladolid (continuación).	rimeros kilometros corresponden a la carretera de Pozuelo de Tavara a Leon, hasta su Cruce con la de Villacastin a Vigo, y el resto, que es carretero natural, pasa por Navianos de Alba, Marquid y Carbajales de Alba. 16. De Toro a Colinas de Trasmonte; enlaza las carreteras de segundo orden de Tordesillas a Zamora y de Pozuelo de Tavara a Leon y Benavente a Mombuey, pasando por Taga- rabuena, Pozo Antiguo, Fuentes Secas , Malva, Pobladura de Valderaduey, Castronuevo, Villalba
22/08/1877	gazeta	BOE-A-1877-6493	VERIFICADO	frase completa en el texto	1	Intervención general de la Administración del Estado.- Bienes de propios y Provinciales.- Ventas posteriores al 2 de Octubre de 1858.- Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de Propios y provinciales.	71719 Idem de Cueigamures. Junio 1871............. 67 171720 Idem de id .. ........., Diciembre 1874.. 15*43 171721 Idem de id .... .. . ------ Febrero 1875.... 1.057*29 171722 Idem de id Marzo 1876.......... 800U8 171723 Idem de Colinas de Trasmonte................... Mayo 1873 ___ 400 171724 Riem de id....................... . Idem 1 8 7 4 ....... 3.619 171725 Idem de id .. . . . . . A .. Junio 1875 ............. 3.760 471726 Idem de id ............. Idem 1876 ............
07/08/1879	gazeta	BOE-A-1879-5787	VERIFICADO	frase completa en el texto	1	Bienes de Propios y Provinciales.- Ventas Posteriores al 2 de Octubre de 1858.- Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de Propios y provinciales enajenados desde el 2 de Octubre de 1858 en adelante, que examinadas y aprobadas por esta Intervención general se remiten á la Dirección general de la Deuda pública...	e id 802 187822 Idem de id .................... Julio 1878............ 104 187823 Idem de Corecinos de Campos...................... idem 1877............ 728 187824 Idem de id ................... Octubre i d 194:32 187825 Idem de Colinas de Trasm onte................. Junio Id ............... 3.760 187826 Idem de id ..................... Idem 1878............ 3.760 187827 Idem de Corrales Setiembre 1874.. 4.327*01 187828 Idem de id ...................... Octubre 1 875.... 675*
14/05/1880	gazeta	BOE-A-1880-3435	DUDOSO	aparece Colinas, pero no consta que sea el nuestro	4	Administración de Justicia.	la villa y partido de Cangas de Tineo. ’ Por el presente hace saber que en la demanda ejecutiva a instancia de Dona Celestina .Fernandez, del Corrai, arrabal de esta villa, contra los herederos de Juan Fernandez/vecino que fue de Colinas de Arriba, sobre pago de 4.500 pesetas e interes legal, y que hoy se sustancia contra Jos fiadores del referido finado deudor, se acordo por providencia de 28 de Octubre ultimo comunicar traslado por s^xto dia & los hijos o hered
07/05/1884	gazeta	BOE-A-1884-2680	VERIFICADO	frase completa en el texto	1	Intervención general de la Administración del Estado.- Bienes propios y provinciales.- Ventas posteriores al 2 de Octubre de 1858. Carpeta de las relaciones de ingresos realizados por las dos terceras partes del 80 por 100 de bienes de propios y provinciales.	........... Marzo 1880........ 728 212595 Idem de id................. Abril 4881.-........ 728 2 i 2596 Idem de id................ Idem 1882..,.».. 928*32 212597 Idem de id................ Mayo 4883......... 194*32 212598 Idem de Colinas de Trasmonte.............. Julio 4880 ........ 3.760 212599 Idem de id................. Idem 4881.......... 3.760 212600 Idem de id................ Junio 4882...... 3.760 212601 Idem de id................. Mayo 1883.......... 3.760 212602 Ide
28/08/1889	gazeta	BOE-A-1889-5516	VERIFICADO	frase completa en el texto	1	Dirección general de Propiedades y Derechos del Estado.- Estado por provincias de los compradores de bienes desamortizados contra los que se han expedido apremios en dicho trimestre, con embargo de las fincas, por débito de plazos que exceden de 5.000 pesetas, conforme á la ley de 13 de Junio de 1878.	........................ Sicarcas ................................................................ Zamora. . . . . D. Fernando Fernandez.,. . . . . . . . . . . . Idem....................... Clero................................ . Colinas de Trasmonte............................................. T o t a l ............................................ 193.887*32 Lo que se publica en la G a c e t a d e M a d r id en cumplimiento a lo dispuesto en el art. 13 de la ley de 13 de Jun
28/03/1892	gazeta	BOE-A-1892-2055	VERIFICADO	frase completa en el texto	2	Administración de Justicia.	vente* Por la presente requisitoria se cita, llama y emplaza al rocesado Manuel Florez Ferreras, hijo de Juan y de Maria, e cuarenta y cuatro anos cumplidos, casado con Teresa Ca­ sado, tiene hijos, de oficio zapatero* natural de Colinas de Trasmonte, y vecino de esta villa, ha sido antes de ahora procesado y penado por el delito de lesiones, y es conocido por el apodo de Cagache, cuyas^senas personales son: estatu­ ra un metro 630 milimetros, peso 57 kilogramos, dimensio­ ne
29/10/1894	gazeta	BOE-A-1894-6665	VERIFICADO	frase completa en el texto	1	Dirección general de Instrucción pública.- Primera enseñanza.- Escalafón de Maestros y Maestras, provincia de Zamora, distrito universitario de Salamanca.	a Cabeza.....» .............. 11 » 8 1*7*7 i U 73 Manuel Bollo.»• Fontanillas de Castro. 11 » 7 201 74 > 10 8 » 209 75 Ricardo Refoyo. • Villalazan. .o.................................. .. 10 2 3 W/O 208 76 Y alen ti n Rodriguez. Colinas de Trasmonte................ .............. 9 1 0 25 (Cuu 904 77 Francisco Alonso Ranado ................................ ........................... Ferreruela...................................................... 9 9 11 (Cu* 205 78 Celestin
17/04/1898	gazeta	BOE-A-1898-2052	VERIFICADO	frase completa en el texto	2	Dirección general de Obras públicas.- Escalafón del Cuerpo de Delineantes de Obras públicas en 31 de Diciembre de 1897.	___1 Alava__________1 Madrid................ 1 fie n se________ 1 Sevilla................ 1 Uadainz..............1 Madrid................ 1 1 Pueblo. Valencia................................ Gerona................................ Colinas de Trasmonte____ T orea Mnntilla Manar.nr Toruna 1 Manresa 1 Palamos Pnria .................................................. Granarla Jaen T onrrnnr».................................. A stnrora .................................. T 95 Paimac
10/02/1899	gazeta	BOE-A-1899-895	VERIFICADO	frase completa en el texto	2	Dirección general de Obras públicas.- Escalafón del Cuerpo de Delineantes de Obras públicas, rectificado en 20 de Enero de 1899.	.................................. Barcelona........................... Alicante.............................. Bilbao................................... Segovia............................... Valencia............................. Colinas de Trasmonte. . . . Manresa.....................* Borja.............• ............................ N O M B R E S Delineantes primeros. Onciales segundos de Administracion. Rafael Cavanillas y Vicente...........................................
16/07/1899	gazeta	BOE-A-1899-4355	VERIFICADO	frase completa en el texto	4	Administración de Justicia.	1899.—Mariano Pas­ cual.=E1 Escribano, Jose Maria Florenza. J—5488 BENAVENTE _ En la causa criminal seguida en el Juzgado de instruc­ cion de esta villa por el delito de hurto de 23 pesetas a Geno­ veva Bermejo Florez, vecina de Colinas de Trasmonte, y ten­ tativa de otros hechos, contra los procesados Isabel Moreno Sanchez, Antonio Pardo Moreno, Lorenzo Rodriguez Dorado, Candido Antonio y Fernando Virosta del Oro y otros dos mas, de profesion tenderos quinquilleros, y sin v
10/08/1899	gazeta	BOE-A-1899-4947	DUDOSO	aparece Colinas, pero no consta que sea el nuestro	3	Administración de Justicia.	yor cuantia sobre pago de 29.000 pese­ tas, entre partes, de la una, como demandante, D. Bartolome Pelayo y Ruiz, de sesenta y cinco anos de edad, viudo, veci­ no de Campazas, propietario, representado por el Procurador D. Carlos Colinas y defendido por el Letrado D. Epigmenio Bustamante, y de la otra, como demandados, D. Manuel Oria Ruiz, mayor de edad, soltero, empleado; D. Clemente Oria Ruiz, mayor de edad, casado, propietario, ambos de esta ve­ cindad; D. Ram
07/11/1899	gazeta	BOE-A-1899-6956	VERIFICADO	frase completa en el texto	6	Administración de Justicia.	ella y su partid i r -censo del propietario. Por el presente, y en virtud de providenen ,a con esta fecha, en cumplimiento a una carta orden «. ¿dien- cia provincial de Zamora, se cita al procesado > la reia Fernandez, vecino de Colinas de Trasmonte, } el dia 12 de Diciembre, y hora de las nueve de su mah 6 »mpa- rezca ante la expresada Audiencia a fin de da r mpio a las sesiones del juicio oral de causa sobre dano- , dicha Jose Garcia; bajo apercibimiento de que si m eciere
09/06/1905	gazeta	BOE-A-1905-3586	VERIFICADO	frase completa en el texto	2	Caminos Vecinales.- Planes de caminos vecinales comprendidos en los contratos celebrados con las Diputaciones provinciales.	l Vino, por Pontejos. De Almaraz al kilometro 15 de la carretera de Alcanazes. De Puente de Castro (Puebla de Sanabria) al Lago de Ribadelago por Yla&es y Galende. De Vigo a Villardeciervos, partiendo de Villanueva du Valrojo. De Colinas de Trasmonte al Cubo de Benavente por Qu/ruelas de Vidriales,. Quintanilla, Bri- me de Urz, Cunquilla, Cranuicillo, Grijalba, Villaobispo, Santibanez, Bnme de Sog, San Pedro de Zeque y LTna de Quintana a Cubo de Benavente. De Alcubilla de Nog
14/07/1905	gazeta	BOE-A-1905-4334	VERIFICADO	frase completa en el texto	4	Clasificación de las plazas de Médicos titulares (provincia de Zamora).	e la Polvorosa, Vecilla y Fresno de la ruivuiuaa............ .............................. Micereces, con Santibanez,'Abraye- ses,A guilar,SantacroyaySitram a Pobladura del Valle, con Torre y ________ Quiruelas de Yidriales, con Colinas de Trasmonte, Q uintanilladeU rz, Brime, Cunquilla y Sitrama de i^i__ n T»__ A „ T T illo K rtn r 1 ¡san B,oiuaii y u i m w m ..................... San Cristobal de E ntrevinas......... .. Santa Colomba de las Carabias, con San Miguel y Ponde
07/11/1907	gazeta	BOE-A-1907-7930	VERIFICADO	frase completa en el texto	2	Dirección general de Correos y Telégrafos.- Correos.- Relación de los individuos que han sido nombrados para los destinos que se expresan.	a....... « .................. Cartero de Almoines ....................................... Ignacio Cortes Bonct • • ......... • Idem de Castellote a L adrinan....................... Carlos Alcala Asensio ................ Peaton de Colinas de Trasmonte a F rie ira ... Cartero de Torrijos de la Canada. • . . . . . . . . , Joaquin Crespo Jaime ................ Idem de Cucalon a Piedrahita.. . . . . . . . . . . . . Manuel del Rio Gomez. . . . . . . . . Mariano Sancho Adell........
29/11/1907	gazeta	BOE-A-1907-8414	VERIFICADO	frase completa en el texto	1	Dirección general de Correos y Telégrafos.- Relación de los individuos que han sido nombrados para los destinos que se expresan en virtud de propuestas del Ministerio de la Guerra.	ez... . . . . Idem de Burguillos.. . . * .................................. Idem. Idem. Idem. Idem. Saneliez PftTiiaffua.* *. * Idem de Vil 1 al pando a Otero de Sariegos... • Idem de Zamora a Moraleda de Infanzones.. Cartero de Colinas de Trasmonte.. . . » .......... Idem de Fresno da Sayago •. • . . . Fiaviano Soto Garrote.. . . . . . . . Idem de Jerez de ios Caballeros....................... Paulino Sevillano M artin.. . . . . Francisco Pedraja Molina......... Idem de Lob
09/08/1908	gazeta	BOE-A-1908-5998	VERIFICADO	frase completa en el texto	4	Administración de Justicia.	ente requisitoria si cita, llama y emplaza a los procesados Eulogio Prieto Bermejo, alias Garabato, soltero, labrador, de veinte anos de edad, y Justo Carnero Esteban, soltero, jornalero, de treinta y dos anos de edad, vecinos de Colinas de Trasmonte, cujas demas circunstancias no cons­ tan, ignorandose su actual paradero, a fin de que en el plazo de los diez dias, siguientes al en que tenga lugar la insercion de la presente en la G a c eta d e Ma d r id y Boletin oficial de
17/08/1908	gazeta	BOE-A-1908-6179	VERIFICADO	frase completa en el texto	7	Administración de Justicia.	num. 44, y Juez • instructor ci.ei expediente que sigue al recluta Juan Rodriguez Fernandez por haber fritado a concentracion. Por la presente requisitoria ll&mo, cito y emplazo al re- olutR Juan Rodriguez Eornandez, natural de .-Colinas de Trasmonte, parroquia de idem, Ayuntara':ento de idem, pro­ vincia d‘i Z-ireorr., avecindado en Colinas, Juzgado da prime­ ra h/staneia de Bsnavento,. de veintisres anosi^de edad, de oficio bracero, de estado soltero,-estatura se ignora, hi
31/10/1908	gazeta	BOE-A-1908-7913	VERIFICADO	frase completa en el texto	4	Administración de Justicia.	este partido, por providencii dictada hoy en el sumario seguido por robo de palomasNcon tra el procesado Justo Carnero Esteban, de treinta y doj anos de edad, hijo de Manuel y de Manuela, soltero, jornale ro, natural y vecino de Colinas de Trasmonte, y cuyo para dero actual se ignora, acordo se emplace en forma ¿ medi< de la presente cedula a tal procesado, por haberse dictad uuto en tal sumario con fecha 29 de Septiembre ultimo de clarandola concluso y acordando elevarle a
28/12/1908	gazeta	BOE-A-1908-9382	VERIFICADO	frase completa en el texto	5	Administración de Justicia.	comprendido? en los numeras 1.° y 3.° del art. 835 de la ley de Eajuiciamiento criminal, se cita, llama y e m p la z a a los procesados Eulogio Prieto Bermejo, alian Garabato, soltero, labrador, de veinte anos de edad, vecino ds Colinas de Trasmonte, cuyas demas circunstancias no constan, ignorandose su actual paradero, y Justo Carnero Esteban, natural y vecino de dicho Colinas, hijo da Manuel y Manuela, de treinta y dos anos de edad, soltero, jornalero, con alguna instrucci
07/11/1913	gazeta	BOE-A-1913-8892	NO_VERIFICADO	no aparece la palabra Colinas en el texto	4	Continuación del proyecto de ley de División electoral.	
06/02/1916	gazeta	BOE-A-1916-709	VERIFICADO_OCR	frase presente, OCR degradado	1	Dirección General de la Deuda y Clases Pasivas.- Relación de las facturas de presentación al cobro de créditos de Ultramar en el turno preferente que han de satisfacer por la Tesorería de este Centro directivo.	ERESADOS de lii D.u\ C'.i;.oi1 de ia Delegacion. PROVINCIA PUEBLO 810 2 Zam ora.............. Zamora. 811 3 Id em ___. . . . . . Q uinielas de Vidriales. . 813 5 Id e m ............... .. Pontejos. 814 6 Id em ................... Colinas del Trasm onte. 815 •7 Id em ................ .. Idem. 816 8 Idem . . . . . . . . Morales del Vino. 817 9 Id em ............ Abelon. 818 10 Id em .................. Morales del Vino. 820 12 I d e m . . . . . . . . . Santa Clara d
18/02/1920	gazeta	BOE-A-1920-1079	VERIFICADO	frase completa en el texto	2	Reales órdenes resolviendo los expedientes incoados por los Ayuntamientos que se mencionan, sobre modificación del Arreglo escolar y creación de Escuelas.	tratarse de la modiiicaeion del vigente Arreglo escelar; . ' ; y Considerando que es de necesidad la Escuela solicitada: Oonsiderando lo dispuesto en la Real orden de 21 de Abril de 1917, Esta Comision opina que procede crear en Colinas de Trasmonte una Es­ cuela unitaria de ninos y convertir da de asistencia mixta que boy tiene en unitaria de ninas, modincando al efec- . i o e} Arr eg'lo esc o lar cor r e sppnd i en te. ’R B., M. el Rey (q. D«,-g.), ./de .aeuerd'o:. , jcon
30/03/1923	gazeta	BOE-A-1923-2526	DUDOSO	aparece Colinas, pero no consta que sea el nuestro	2	Dirección general de Obras públicas.- Aguas.- Autorizando a la Sociedad agrícola de Villanazar para derivar 250 litros de agua, por segundo, del río Tera, en término de Colinas de Trasmonte y Villanazar, con destino a riegos.	cia de Cordoba. I Exaiminado el expeda en te incoado 'f proy-ecto presentado por la Sociedad'. Agriciola de Yillanazair,oque solicita la^ conicesl’ion de 250 liinos' de agua pori segundo derivados del rio Tora, en. 'teiinjino de 'Colinas de TXasimonte y, (le Yilianiazar, con deslino a riegos: i Il’esuUandq que (c¡l iexp;ediente .se hsf; ■gO',.Ma¥zQ‘T ^ t>gii](itad,o' €on., arieglij, a Jtoinfq lie la IiiMruacioni d e J u n i o de : depreto d0''5'de iSen^^^ ^l)r*o
20/02/1925	gazeta	BOE-A-1925-1631	VERIFICADO	frase completa en el texto	7	Junta Calificadora de aspirantes a destinos civiles.- Relación nominal de las clases de activo y licenciados de todas las clases que se proponen para los destinos anunciados a concurso en Enero.	Ca­ bo Jose Ramajo Rodriguez, con 2-11-18. 13. Idem de Cernadilla; soldado demiente Dominguez Delgado, con 3-0-0. 14. Anulado por estar servido en propiedad, segun Real orden de Go­ bernacion de 12 de Enero ultimo. 15. Cartero de Colinas de Tras­ monte; Sargento licenciado Cirilo Fo­ rrero Minambres, con 2-11-19 de ser­ vicio y 1-0-21 de empleo. 16. Idem de Cubo del Vino; Cabo Bernardo Martin Taniame, con 1-9-0. 17. Idem de Fadon; soldado Alon­ so Payo Payo, con 2-0-16. 18. Des
10/02/1926	gazeta	BOE-A-1926-1437	VERIFICADO	frase completa en el texto	7	Dirección general de Primera enseñanza.- Maestros nombrados provisionalmente por los cuatro primeros turnos del artículo 75 del Estatuto vigente en vacantes correspondientes al mes de Octubre del año último.	Argusino (Zamora), 0 - 2 - 21 . Idean.— 6.703, D. Antonio San Roman «Villasante, de Pijeiros (Orense); la de Cardillo. (.Zamora), 3-9-21: * Idem.“—6.628, D. Jose Manuel Por- domingo Pordomingo, de Villamor de Laguna (Leon); la de Colinas de Tras­ monte (Zamora), 21-8-17. Septima.— 4.539, D. Antonio A. Ru­ bio: Perez, de Cotanes del Monte (Za­ mora); la de Quim-tanilla del Monte (Zamora), ,1-9-921. Novena del segundo— 4.708, D. Jose BlancovLlamas-, de Villamar-Barreiros (Lugo),-
16/06/1926	gazeta	BOE-A-1926-6079	VERIFICADO	frase completa en el texto	5	Dirección general de Primera enseñanza.- Maestras nombradas provisionalmente por los cuatro primeros turnos del artículo 75 del Estatuto vigente, en vacantes correspondientes a los meses de Enero, Febrero y Marzo últimos.	e San Vioente-Arnoya (Orense), 31-3-922. Octava del segundo, 1.012.— Dona Romana Guzman Sanchez, de Villar del Rey-Cenlle (Orense), la de Aiillo- San Amaro (Orense), 1-6-922. Septima, 5.224.— Dona Angela Ovelleiro y Rodriguez, de Colinas de Trasmonte (Zam ora), la de la Rua (O rense), 16-4-916. Novena del segundo, 1.334.— D o­ na Josefina Miranda La Villa, de Ce- 11 es-Si ero (Q yiedo), la de Maree-' nado-Siero (O viedo), 4-9-909. Septima, 3.329. — Dona Maria Ara c el i Ferna
10/11/1926	gazeta	BOE-A-1926-11309	VERIFICADO	frase completa en el texto	6	Dirección general de Primera enseñanza.- Relación de las maestras nombradas provisionalmente por los cuatro primeros turnos del artículo 75 del Estatuto vigente, en vacantes correspondientes al mes de Septiembre último.	Septima, alta.—Dona Maria Aracelf Crespo de la Fuente de Villardlegua de la Ribera (Zamora); la de Cereci-* i nos del Carrizal (Zamora), 11-3-925* . idem, selta.:—Dona Dolores A. Luna • i Hernandez, de Diego Alvaro (Avila); la de Colinas de Trasmonte (Zamora), ■ 9-3-925. Idem, idem.—Dona Maria Asuncion Morera Rodriguez, de Calzada des Be« jar (Salamanca); la de Parvulos; de ' Fuentelapefia (Zamora), . T-3-925. ; Novena del segundo; 2;639;—Dofiat ¡ Obdulia de San Bartdlome Rod
28/04/1931	gazeta	BOE-A-1931-41364	VERIFICADO	frase completa en el texto	6	Dirección general de Primera enseñanza.- Conclusión de los nombramientos provisionales de los opositores comprendidos en la segunda lista supletoria.	rense); residencia,) Juslibol (Zaragoza). ¡ 876.—D. Jose Palm a Palma, la dej Fie-stras - Ginzo (Orense); residencia,;' Baro (Santander). ' 5 877.—D. Cesar Sastre Jimenez, la, de V illardeliebres-Trasm iras (Orense)ff residencia, Colinas de Trasmonte (Za-1 m ora). 878.—«D. Ramiro Subira Consul, la de Villardemilo-Vian-a (O rense); resi- ( dencia, Torr-eserona (Lerida). 879.—D. Enrique Gtermendia Casa- nova, la de Xamiras-A^cavedo (O ren-; se); residencia, Lugo, Constitucion,;
27/01/1932	gazeta	BOE-A-1932-40589	VERIFICADO	frase completa en el texto	1	Dirección general de Propiedades y Contribución territorial.- Relación, por provincias, de los términos municipales en que han sido aprobados los Registros fiscales de edificios y solares desde 1º de Julio de 1930 a 30 de Junio de 1931.	Humilladero. Madharaviaya. ORENSE Moreiras. OVIEDO Coana. Illas. Villayon. PONTEVEDRA ■R ib adu-mia. VALENCIA Petres. ZAMORA Cas trillo de la Giiarefia, Pedralba. Rebellinos. San Agustin, Tapioles, Vega de Villalobos. Rabanales. Colinas de Trasmonte. Vinas. Rosinos de ¡la Requejada. H-ermisende. Malva. Fariza. Valdefinjas. San Ciprian. SANTA CRUZ DE TENERIFE Guia de Isor-a. Nota,—Los anteriores terminos muni­ cipales -eran los unicos que restaban su­ jetos al regimen de amil
