id	prioridad	frente	tipo	quien	estado	que_es	referencia	institucion	desbloquea
ARCH-01	1	8	archivo	usuario	pendiente	Libro de fábrica de la ermita, o su asiento en el de la parroquia: las cuentas de la «Cota de 200 reales» mandada retener en 1756	—	A. H. Diocesano de Astorga	Si la ermita de 1756 es o no el «Convento de San Juan» de la tradición oral
ARCH-02	1	8	archivo	usuario	pendiente	Libro de visita del obispo de Astorga, abril-mayo de 1756: él mismo anuncia por carta que pasa ese mes «a las cercanías del Lugar de Colinas»	—	A. H. Diocesano de Astorga	Un libro de visita describe los edificios de culto uno por uno: es el documento que decidiría lo de la ermita
ARCH-03	1	8	archivo	usuario	pendiente	Don Matheo Villalva, presbítero, prestamero del beneficio de San Juan de Colinas y ahijado del XI conde-duque de Benavente (1756)	—	A. H. Diocesano de Astorga	Qué era «el préstamo de San Juan», y por qué el Catastro de 1752 no lo declara
ARCH-04	2	8	archivo	usuario	pendiente	Libro de memorias y aniversarios: los tres aniversarios fundados por un cura apellidado Prieto, pleiteados en 1772	—	A. H. Diocesano de Astorga	La primera fundación piadosa documentada de la parroquia, y el nombre completo del fundador
ARCH-05	1	16	archivo	usuario	pendiente	Libros de difuntos de la parroquia de San Juan Bautista, 1826-1842	—	A. H. Diocesano de Astorga	La otra mitad del agujero demográfico: si hubo o no mortalidad extraordinaria entre Miñano y Madoz
ARCH-06	3	8	archivo	usuario	pendiente	Libros sacramentales de San Juan Bautista: bautismos y matrimonios anteriores a 100 años	—	A. H. Diocesano de Astorga	Los apellidos del pueblo en serie larga
ARCH-07	1	9	archivo	usuario	pendiente	Los seis pleitos civiles de la Chancillería que tocan a Colinas y NO están digitalizados: el del caño del Calero, el de Martín Alonso (1551) y cuatro más	ARCHV, PL CIVILES, ALONSO RODRÍGUEZ (OLV), CAJA 368,1 · TABOADA (OLV), CAJA 726,1 · ver pares-colinas.tsv	A. R. Chancillería de Valladolid	Las declaraciones de testigos: vecinos de Colinas hablando en primera persona hacia 1600
ARCH-08	2	9	archivo	ambos	sin_via	Recurso de fuerza de los curas del obispado de Astorga contra el conde-duque de Benavente, 1693-1694	sin signatura: no está entre las 17 unidades que PARES devuelve para «Colinas de Trasmonte»	A. R. Chancillería de Valladolid	La otra cara del pleito de diezmos de 1694, que el legajo de Osuna sólo deja entrever
ARCH-09	3	14	archivo	usuario	pendiente	Acta de reconocimiento de vías pecuarias del término (1863) y copia del reconocimiento de la Cañada Real Sanabresa (1895)	AHN, DIVERSOS-MESTA,746,Exp.38	Archivo Histórico Nacional	Las vías pecuarias del término, que conectan con la «vereda» del deslinde de 1129
ARCH-10	1	1	archivo	usuario	pendiente	Libros maestros o Respuestas Particulares del Catastro para Colinas: series «Bienes Seglares», «Bienes Eclesiásticos» y «Familias»	fondo Intendencia Provincial de Zamora, 1750-1849, 2.091 cajas — empezar por la serie «Índices de Pueblos»	AHP de Zamora	El bien por bien y la persona por persona de 1752: donde tendrían que figurar la ermita y el préstamo de San Juan
ARCH-11	2	1	archivo	usuario	pendiente	Lo mismo, por la hipótesis alternativa: Colinas se catastró bajo la intendencia de Valladolid	fondo Intendencia Provincial de Valladolid, 1751-1769, 402 cajas — misma serie «Índices de Pueblos»	AHP de Valladolid	Dirime cuál de los dos archivos guarda los libros maestros. Basta que miren su índice
ARCH-12	2	13	archivo	usuario	pendiente	Archivo del antiguo ayuntamiento de Colinas de Trasmonte (1833-1972)	—	AHP de Zamora, o ayuntamiento de Quiruelas	Todo el siglo XIX y XX municipal. ⚠️ En 1876 el propio ayuntamiento lo declaró ya incompleto
ARCH-13	3	13	archivo	usuario	pendiente	Libros de pósito del siglo XIX: Miñano documenta pósito en Colinas en 1826	—	AHP de Zamora	La contabilidad del grano del concejo, año por año
ARCH-14	2	13	archivo	usuario	pendiente	Expedientes de venta de bienes de propios de Colinas, 1860-1889: siete asientos ya fechados en la Gazeta	índice completo en colinas-en-la-gazeta-1661-1959.tsv	AHP de Zamora / Hacienda	Qué vendió el pueblo, a quién y por cuánto: la desamortización sobre el terreno
ARCH-15	1	13	archivo	usuario	pendiente	Archivo del Juzgado de Paz de Colinas, trasladado a Quiruelas de Vidriales en 1972	Orden BOE-A-1972-1185	Juzgado de Paz de Quiruelas	Registro civil y jurisdicción voluntaria del municipio. Hay disposición en la mano para preguntar
ARCH-16	4	13	archivo	usuario	sin_via	Expediente del Juzgado de 1.ª instancia de Madrid, 1848: cotejo de los títulos de Osuna ante el Promotor Fiscal de la Hacienda	juez D. José María Montemayor · auto de 18-III-1848	`[?]` sin localizar	El proceso desamortizador tocando a Colinas por vía judicial
ARCH-17	3	11	archivo	usuario	pendiente	Censo nominal de Floridablanca (1787) por cabezas de familia, manuscrito: lo publicado por el INE son los agregados	—	Real Academia de la Historia	Los nombres detrás de los 156 habitantes de 1787
ARCH-18	2	6	archivo	usuario	pendiente	BNE, Ms. 4357, «Tumbo Negro» de Astorga, fol. 51v	Ms. 4357	Biblioteca Nacional de España	La fecha de 1006 y el único testimonio del documento de 963. ⚠️ bdh.bne.es devuelve 403 a todo acceso automatizado
ARCH-19	2	8.2	archivo	usuario	pendiente	Memoria de la excavación de 1991 en el pago «Los Paredones», identificado con Pobladura de Trasmonte	—	Junta de CyL, Servicio Territorial de Cultura / IEZ	Dónde estuvo Pobladura, que es la pregunta con tres respuestas distintas en la bibliografía
ARCH-20	2	16	archivo	usuario	pendiente	Relación del alcalde mayor del adelantamiento del reino de León, 1571: los 48 vecinos de Colinas	AGS, Cámara de Castilla, Leg. 2159, F-9	Archivo General de Simancas	Verificar sobre el papel el recuento que agrieta la meseta demográfica. Hoy es dato de artículo
ARCH-21	3	10	archivo	usuario	bloqueado_criterio	AHN, FC-CAUSA_GENERAL,1318,Exp.4 — 139 imágenes, digitalizado	FC-CAUSA_GENERAL,1318,Exp.4	Archivo Histórico Nacional	Pendiente de fijar un criterio del proyecto para material sensible del siglo XX antes de abrirlo
ARCH-22	3	6	archivo	usuario	sin_via	La tercera ratificación del coto de Santa Marta de Tera, 1174	—	—	Cierra la serie 1129-1170-1174, de la que el corpus sólo tiene dos
TAR-01	1	10	tarea	claude	pendiente	Cotejo del D.89 (imágenes 1-36), el original de 1694, contra la copia de 1842 ya leída entera	OSUNA, C.466, D.89 — facsímil ya en el proyecto	—	Confirmar sobre el original lo que hoy se sostiene en una copia decimonónica
TAR-02	2	12	tarea	claude	pendiente	Leer BLANCO IGLESIAS, S., «La arquitectura de barro en los valles de Vidriales», Brigecio 23 (2013)	12 pp. · CON capa de texto	—	El adobe y el tapial del pueblo: materia para el emblema y para el frente de patrimonio
TAR-03	2	12	tarea	claude	pendiente	Leer «Imaginería gótica en los valles del Tera y Vidriales», Brigecio 18-19	19 pp. · CON capa de texto	—	Si queda algo mueble de la parroquia de San Juan
TAR-04	3	12	tarea	claude	pendiente	Leer «Restos mozárabes en el valle de Vidriales», Brigecio 31 (2021)	14 pp. · CON capa de texto	—	El contexto material de los nombres del diploma de 1015
TAR-05	2	12	tarea	claude	pendiente	Leer GONZÁLEZ RODRÍGUEZ, R., «Monasterios, caminos de peregrinación e infraestructura viaria en el norte de Zamora», Brigecio 10 (2000)	22 pp. · SIN capa de texto: hay que leerlo a imagen	—	Mismo autor y mismo número que el artículo de Castroferrol: es el que más puede aportar de los nueve
TAR-06	2	12	tarea	claude	pendiente	Leer GARCÍA CABALLERO, A., «Los despoblados en el Condado de Benavente (ss. XVI-XVIII)», Brigecio 2 (1992)	25 pp. · SIN capa de texto	—	Pobladura y Castroferrol desde la serie de despoblados del condado
TAR-07	3	12	tarea	claude	pendiente	Leer MARTÍN BENITO, J. I., «La cofradía de la Virgen de la Vega de Vecilla», Brigecio 11 (2001)	15 pp. · SIN capa de texto	—	Sociabilidad religiosa del vecino inmediato en el XVIII
TAR-08	3	12	tarea	claude	pendiente	Leer «El yacimiento calcolítico de Las Peñas en Quiruelas de Vidriales», Brigecio 6 (1996)	19 pp. · SIN capa de texto	—	El paralelo más cercano de «Las Bodegas»
TAR-09	4	12	tarea	claude	pendiente	Leer «San Salvador de Villaverde de Vidriales», Brigecio 11	20 pp. · SIN capa de texto	—	El otro San Salvador del valle, para comparar con el de 1006
TAR-10	4	12	tarea	claude	pendiente	Leer REGUERAS GRANDE, «Sigillatas de Villanueva de Azoague», Brigecio 1 (1989)	12 pp. · SIN capa de texto	—	Paralelo cerámico del nivel tardorromano de San Juan-El Valle
TAR-11	1	14	tarea	claude	pendiente	Digitalizar el límite jurisdiccional sobre el MTN50 de 1.ª edición, que es anterior a 1972 y dibuja el término con sus mojones	ráster ya georreferenciado en 04-cartografia/ign-historico/	—	El polígono del término histórico, que es lo que bloquea medio frente de cartografía
TAR-12	2	14	tarea	claude	pendiente	Georreferenciar el plano general IRYDA 1:5.000 de 1976	04-cartografia/concentracion-parcelaria-1975-77/	—	Poder superponer el parcelario de 1977 a la ortofoto y al catastro
TAR-13	2	4	tarea	claude	pendiente	Identificar los códigos catastrales DGC 49151 y DGC 49285, descargados y sin anotar	04-cartografia/catastro-inspire/	—	Cabo suelto del índice de facsímiles: no se pueden citar sin saber qué términos son
TAR-14	2	1	tarea	claude	pendiente	Volver al facsímil del Catastro de 1752 a comprobar si Colinas declara primicia y voto de Santiago, como sí hace Villaferrueña	ensenada-*.jpg, respuestas 15.ª y 16.ª	—	Cierra un `[?]` abierto el 25-IX, y es barato
TAR-15	3	17	tarea	claude	pendiente	Localizar «San Juanico», topónimo que da Madoz al describir la cordillera de dos horas desde el monte de Colinas	Madoz, t. VI, p. 521	—	Fleco del frente de Madoz
TAR-16	3	5	tarea	claude	pendiente	Cotejar el padrón de la localidad 2000-2024 contra las cifras publicadas por el INE	inventario §6.2 y §6.5	—	Fleco del frente del INE
TAR-17	3	11	tarea	claude	pendiente	Buscar el Suplemento de Miñano (t. XI, 1829), que puede retocar la entrada de Colinas	DIGIBUG u otro repositorio en abierto	—	Fleco del frente de Miñano
TAR-18	2	16	tarea	claude	pendiente	Buscar en abierto GONZÁLEZ, T., «Censo de población… de la Corona de Castilla en el siglo XVI», Madrid 1829, pp. 180 y 183	obra de 1829: muy probablemente digitalizada	—	Verificar en su fuente el recuento de 1587 (34 vecinos), hoy dato de artículo
TAR-19	3	10	tarea	claude	pendiente	Barrido sistemático del fondo Osuna más allá de lo que la descripción de PARES nombra	⚠️ PARES no tiene HTR para Osuna ni para la Chancillería	—	Lo localizado es el suelo, no el techo, del fondo señorial
TAR-20	2	12	tarea	claude	sin_via	Obtener «Los Manrique de Lara y el legado heráldico de don Fadrique», Brigecio 33-34 (2023-2024), pp. 113-126	Dialnet devolvió 404	—	La casa señorial de la que dependió Colinas, en clave heráldica (frente 18)
TAR-21	3	10	tarea	claude	pendiente	Identificar el lugar que tres fuentes llaman «Vezinas» (1526), «Ce[z]inas» (1565 `[?]`) y «Xeçinas» (1591), siempre junto a Colinas y con 20-21 vecinos	censo-pecheros-1528/ y censo-1591/	—	Un vecino inmediato que nadie ha identificado en sesenta y cinco años de fuentes
TAR-22	3	10	tarea	claude	pendiente	Localizar sobre el mapa «la Verdenosa», del cabildo de Astorga, en la merindad de la Polvorosa	identificada en Brigecio 17 (2007), sin situar	—	Uno de los dieciséis lugares del pleito de diezmos de 1694
TAR-23	4	10	tarea	usuario	sin_via	Transcribir el asiento de Colinas en el cuaderno de dezmeros, folio 8: letra procesal, y PARES topa el zoom en ≈1.090 px	OSUNA, C.426, D.135	—	La mención más antigua de Colinas que el proyecto tiene EN IMAGEN. Trabajo de paleógrafo
LIMP-01	2	—	limpieza	claude	pendiente	Carpetas duplicadas de las ejecutorias: facsimil/1757, /1772 y /1804 repiten, con la extensión rota «.jg», las mismas 28 imágenes de facsimil/ejecutoria-*	verificado por md5: contenido idéntico	—	Evita que alguien lea mañana la copia equivocada. Un comando lo resuelve, pero borra: se espera autorización
LIMP-02	3	—	limpieza	claude	pendiente	El índice de facsímiles da 327 ficheros y el disco tiene 412: la cifra se quedó atrás	docs/facsimiles.md	—	Que el índice diga la verdad, que es para lo que se levantó
TAR-24	2	—	tarea	claude	pendiente	Acreditar cada reproducción junto a la imagen en la web, y comprobar una por una las condiciones de reutilización de PARES, IGN, Catastro e INE	las signaturas ya están en docs/facsimiles.md; falta reunirlas y verificar términos	—	Que el repositorio público diga de dónde sale cada imagen. Ver CREDITOS.md
TAR-25	3	—	tarea	usuario	pendiente	Decidir la licencia del trabajo propio: fichas, tablas, transcripciones, cronología y código	hoy el repositorio no lleva ninguna	—	Sin licencia, «público» no dice qué puede hacer quien lo lea
